Time(s),Height(m)
0,5
0.5,4.9901
1,4.98021
1.5,4.97033
2,4.96046
2.5,4.9506
3,4.94075
3.5,4.93091
4,4.92108
4.5,4.91126
5,4.90145
5.5,4.89164
6,4.88185
6.5,4.87207
7,4.8623
7.5,4.85254
8,4.84278
8.5,4.83304
9,4.82331
9.5,4.81358
10,4.80387
10.5,4.79417
11,4.78447
11.5,4.77479
12,4.76512
12.5,4.75545
13,4.7458
13.5,4.73615
14,4.72652
14.5,4.71689
15,4.70728
15.5,4.69767
16,4.68808
16.5,4.67849
17,4.66892
17.5,4.65935
18,4.64979
18.5,4.64025
19,4.63071
19.5,4.62118
20,4.61167
20.5,4.60216
21,4.59266
21.5,4.58317
22,4.5737
22.5,4.56423
23,4.55477
23.5,4.54532
24,4.53588
24.5,4.52645
25,4.51704
25.5,4.50763
26,4.49823
26.5,4.48884
27,4.47946
27.5,4.47009
28,4.46073
28.5,4.45138
29,4.44204
29.5,4.43271
30,4.42339
30.5,4.41407
31,4.40477
31.5,4.39548
32,4.3862
32.5,4.37693
33,4.36767
33.5,4.35841
34,4.34917
34.5,4.33994
35,4.33072
35.5,4.3215
36,4.3123
36.5,4.30311
37,4.29392
37.5,4.28475
38,4.27559
38.5,4.26643
39,4.25729
39.5,4.24815
40,4.23903
40.5,4.22991
41,4.22081
41.5,4.21171
42,4.20263
42.5,4.19355
43,4.18449
43.5,4.17543
44,4.16638
44.5,4.15735
45,4.14832
45.5,4.1393
46,4.1303
46.5,4.1213
47,4.11231
47.5,4.10334
48,4.09437
48.5,4.08541
49,4.07646
49.5,4.06752
50,4.0586
50.5,4.04968
51,4.04077
51.5,4.03187
52,4.02298
52.5,4.0141
53,4.00523
53.5,3.99637
54,3.98752
54.5,3.97868
55,3.96985
55.5,3.96103
56,3.95222
56.5,3.94342
57,3.93463
57.5,3.92585
58,3.91707
58.5,3.90831
59,3.89956
59.5,3.89082
60,3.88209
60.5,3.87336
61,3.86465
61.5,3.85595
62,3.84726
62.5,3.83857
63,3.8299
63.5,3.82124
64,3.81258
64.5,3.80394
65,3.7953
65.5,3.78668
66,3.77806
66.5,3.76946
67,3.76087
67.5,3.75228
68,3.7437
68.5,3.73514
69,3.72658
69.5,3.71804
70,3.7095
70.5,3.70098
71,3.69246
71.5,3.68395
72,3.67546
72.5,3.66697
73,3.65849
73.5,3.65002
74,3.64157
74.5,3.63312
75,3.62468
75.5,3.61625
76,3.60783
76.5,3.59943
77,3.59103
77.5,3.58264
78,3.57426
78.5,3.56589
79,3.55753
79.5,3.54918
80,3.54084
80.5,3.53251
81,3.52419
81.5,3.51588
82,3.50758
82.5,3.49929
83,3.49101
83.5,3.48274
84,3.47448
84.5,3.46622
85,3.45798
85.5,3.44975
86,3.44153
86.5,3.43332
87,3.42511
87.5,3.41692
88,3.40874
88.5,3.40056
89,3.3924
89.5,3.38425
90,3.3761
90.5,3.36797
91,3.35985
91.5,3.35173
92,3.34363
92.5,3.33553
93,3.32745
93.5,3.31937
94,3.31131
94.5,3.30325
95,3.29521
95.5,3.28717
96,3.27915
96.5,3.27113
97,3.26312
97.5,3.25513
98,3.24714
98.5,3.23916
99,3.2312
99.5,3.22324
100,3.21529
