Time(s),Tank1_Height(m),Tank2_Height(m)
0,1,0.5
0.2,0.999874,0.50133
0.4,0.999748,0.502659
0.6,0.999622,0.503985
0.8,0.999497,0.505308
1,0.999371,0.50663
1.2,0.999246,0.50795
1.4,0.99912,0.509267
1.6,0.998995,0.510582
1.8,0.99887,0.511895
2,0.998745,0.513206
2.2,0.998621,0.514515
2.4,0.998496,0.515822
2.6,0.998372,0.517127
2.8,0.998247,0.518429
3,0.998123,0.51973
3.2,0.997999,0.521028
3.4,0.997875,0.522324
3.6,0.997751,0.523619
3.8,0.997627,0.524911
4,0.997504,0.526201
4.2,0.997381,0.527489
4.4,0.997257,0.528775
4.6,0.997134,0.530058
4.8,0.997011,0.53134
5,0.996888,0.53262
5.2,0.996765,0.533898
5.4,0.996643,0.535174
5.6,0.99652,0.536447
5.8,0.996398,0.537719
6,0.996276,0.538989
6.2,0.996154,0.540256
6.4,0.996032,0.541522
6.6,0.99591,0.542785
6.8,0.995788,0.544047
7,0.995666,0.545307
7.2,0.995545,0.546564
7.4,0.995424,0.54782
7.6,0.995302,0.549074
7.8,0.995181,0.550326
8,0.99506,0.551575
8.2,0.99494,0.552823
8.4,0.994819,0.554069
8.6,0.994698,0.555313
8.8,0.994578,0.556555
9,0.994458,0.557795
9.2,0.994338,0.559033
9.4,0.994217,0.560269
9.6,0.994098,0.561503
9.8,0.993978,0.562736
10,0.993858,0.563966
10.2,0.993739,0.565195
10.4,0.993619,0.566421
10.6,0.9935,0.567646
10.8,0.993381,0.568869
11,0.993262,0.57009
11.2,0.993143,0.571309
11.4,0.993024,0.572526
11.6,0.992905,0.573741
11.8,0.992787,0.574954
12,0.992669,0.576166
12.2,0.99255,0.577376
12.4,0.992432,0.578583
12.6,0.992314,0.579789
12.8,0.992196,0.580993
13,0.992078,0.582196
13.2,0.991961,0.583396
13.4,0.991843,0.584595
13.6,0.991726,0.585791
13.8,0.991609,0.586986
14,0.991492,0.588179
14.2,0.991375,0.58937
14.4,0.991258,0.59056
14.6,0.991141,0.591748
14.8,0.991024,0.592933
15,0.990908,0.594117
15.2,0.990791,0.5953
15.4,0.990675,0.59648
15.6,0.990559,0.597659
15.8,0.990443,0.598836
16,0.990327,0.600011
16.2,0.990211,0.601184
16.4,0.990096,0.602356
16.6,0.98998,0.603525
16.8,0.989865,0.604693
17,0.989749,0.60586
17.2,0.989634,0.607024
17.4,0.989519,0.608187
17.6,0.989404,0.609348
17.8,0.98929,0.610507
18,0.989175,0.611664
18.2,0.98906,0.61282
18.4,0.988946,0.613974
18.6,0.988832,0.615127
18.8,0.988718,0.616277
19,0.988604,0.617426
19.2,0.98849,0.618573
19.4,0.988376,0.619719
19.6,0.988262,0.620862
19.8,0.988149,0.622004
20,0.988035,0.623145
20.2,0.987922,0.624283
20.4,0.987809,0.62542
20.6,0.987696,0.626555
20.8,0.987583,0.627689
21,0.98747,0.628821
21.2,0.987357,0.629951
21.4,0.987244,0.63108
21.6,0.987132,0.632207
21.8,0.98702,0.633332
22,0.986907,0.634455
22.2,0.986795,0.635577
22.4,0.986683,0.636697
22.6,0.986571,0.637816
22.8,0.98646,0.638933
23,0.986348,0.640048
23.2,0.986237,0.641162
23.4,0.986125,0.642274
23.6,0.986014,0.643384
23.8,0.985903,0.644493
24,0.985792,0.6456
24.2,0.985681,0.646705
24.4,0.98557,0.647809
24.6,0.985459,0.648912
24.8,0.985349,0.650012
25,0.985238,0.651111
25.2,0.985128,0.652209
25.4,0.985018,0.653305
25.6,0.984908,0.654399
25.8,0.984798,0.655491
26,0.984688,0.656582
26.2,0.984578,0.657672
26.4,0.984468,0.65876
26.6,0.984359,0.659846
26.8,0.98425,0.660931
27,0.98414,0.662014
27.2,0.984031,0.663096
27.4,0.983922,0.664176
27.6,0.983813,0.665254
27.8,0.983704,0.666331
28,0.983596,0.667406
28.2,0.983487,0.66848
28.4,0.983379,0.669552
28.6,0.98327,0.670623
28.8,0.983162,0.671692
29,0.983054,0.67276
29.2,0.982946,0.673826
29.4,0.982838,0.67489
29.6,0.98273,0.675953
29.8,0.982623,0.677015
30,0.982515,0.678075
30.2,0.982408,0.679133
30.4,0.982301,0.68019
30.6,0.982193,0.681245
30.8,0.982086,0.682299
31,0.981979,0.683352
31.2,0.981873,0.684402
31.4,0.981766,0.685452
31.6,0.981659,0.6865
31.8,0.981553,0.687546
32,0.981446,0.688591
32.2,0.98134,0.689634
32.4,0.981234,0.690676
32.6,0.981128,0.691717
32.8,0.981022,0.692756
33,0.980916,0.693793
33.2,0.980811,0.694829
33.4,0.980705,0.695864
33.6,0.9806,0.696897
33.8,0.980494,0.697928
34,0.980389,0.698958
34.2,0.980284,0.699987
34.4,0.980179,0.701014
34.6,0.980074,0.70204
34.8,0.979969,0.703064
35,0.979864,0.704087
35.2,0.97976,0.705108
35.4,0.979655,0.706128
35.6,0.979551,0.707147
35.8,0.979447,0.708164
36,0.979343,0.70918
36.2,0.979239,0.710194
36.4,0.979135,0.711207
36.6,0.979031,0.712218
36.8,0.978927,0.713228
37,0.978824,0.714236
37.2,0.97872,0.715244
37.4,0.978617,0.716249
37.6,0.978514,0.717254
37.8,0.978411,0.718256
38,0.978308,0.719258
38.2,0.978205,0.720258
38.4,0.978102,0.721257
38.6,0.977999,0.722254
38.8,0.977897,0.72325
39,0.977794,0.724244
39.2,0.977692,0.725237
39.4,0.97759,0.726229
39.6,0.977488,0.727219
39.8,0.977386,0.728208
40,0.977284,0.729196
40.2,0.977182,0.730182
40.4,0.97708,0.731167
40.6,0.976979,0.732151
40.8,0.976877,0.733133
41,0.976776,0.734113
41.2,0.976675,0.735093
41.4,0.976573,0.736071
41.6,0.976472,0.737047
41.8,0.976372,0.738023
42,0.976271,0.738997
42.2,0.97617,0.739969
42.4,0.976069,0.740941
42.6,0.975969,0.74191
42.8,0.975869,0.742879
43,0.975768,0.743846
43.2,0.975668,0.744812
43.4,0.975568,0.745777
43.6,0.975468,0.74674
43.8,0.975368,0.747702
44,0.975269,0.748663
44.2,0.975169,0.749622
44.4,0.975069,0.75058
44.6,0.97497,0.751536
44.8,0.974871,0.752492
45,0.974771,0.753446
45.2,0.974672,0.754398
45.4,0.974573,0.75535
45.6,0.974475,0.7563
45.8,0.974376,0.757249
46,0.974277,0.758196
46.2,0.974179,0.759142
46.4,0.97408,0.760087
46.6,0.973982,0.761031
46.8,0.973884,0.761973
47,0.973785,0.762914
47.2,0.973687,0.763854
47.4,0.973589,0.764792
47.6,0.973492,0.765729
47.8,0.973394,0.766665
48,0.973296,0.7676
48.2,0.973199,0.768533
48.4,0.973101,0.769465
48.6,0.973004,0.770396
48.8,0.972907,0.771326
49,0.97281,0.772254
49.2,0.972713,0.773181
49.4,0.972616,0.774107
49.6,0.972519,0.775031
49.8,0.972423,0.775954
50,0.972326,0.776876
